step,firm_id,sector,production,emissions,intensity,cash,credits_owned
1,Firm_PE120,Petrochemicals,88283.0,43274.37378581657,,34321643.76734555,0.0
1,Firm_AL25,Aluminium,77312.0,121945.91516786102,,68042033.33501142,0.0
1,Firm_CE14,Cement,99190.0,82958.82073565405,,62334855.00687229,0.0
1,Firm_AL17,Aluminium,79435.0,119166.86755676931,,69840176.70697969,0.0
1,Firm_PE99,Petroleum Refining,107833.0,109158.805798062,,68704980.44416223,0.0
1,Firm_AL27,Aluminium,74544.0,127221.35442005558,,66040951.05172744,0.0
1,Firm_PE100,Petroleum Refining,90572.0,92240.92873814852,,75125577.40118751,0.0
1,Firm_PU35,Pulp & Paper,41619.0,15830.671152849049,,43472079.31347326,0.0
1,Firm_CH58,Chlor-Alkali,51435.0,34319.5329195348,,31306835.85620548,0.0
1,Firm_PO125,Power,162449.0,137614.20090991643,,115468249.56266937,0.0
1,Firm_CH49,Chlor-Alkali,56960.0,34334.71459822873,,58438706.51503846,0.0
1,Firm_IR75,Iron & Steel,106894.0,215167.3692978653,,80791451.80943501,0.0
1,Firm_PE113,Petrochemicals,92740.0,50352.50316454366,,30070073.34350925,0.0
1,Firm_IR65,Iron & Steel,131890.0,288884.74743599416,,79668786.54749575,0.0
1,Firm_PO131,Power,178172.0,139090.87117439622,,102291700.06160532,0.0
1,Firm_FE77,Fertilizer,76035.0,38889.42653239681,,31067656.518752508,0.0
1,Firm_FE85,Fertilizer,60419.0,33410.17000288859,,22554995.15342496,0.0
1,Firm_PU31,Pulp & Paper,51479.0,21499.755705949698,,43776237.84008584,0.0
1,Firm_CE11,Cement,82557.0,76350.58642352777,,41391327.58115705,0.0
1,Firm_AL28,Aluminium,83051.0,150202.11022794354,,81308235.79671264,0.0
1,Firm_IR74,Iron & Steel,146819.0,299975.00712753634,,82463721.07720913,0.0
1,Firm_AL16,Aluminium,78308.0,118377.27008905362,,40319779.82860203,0.0
1,Firm_CH53,Chlor-Alkali,60233.0,41484.79280928612,,32284035.963048995,0.0
1,Firm_PO121,Power,157684.0,133569.97025815048,,100497404.19121632,0.0
1,Firm_CH56,Chlor-Alkali,51591.0,34621.407692743014,,56673722.40584916,0.0
1,Firm_PE114,Petrochemicals,92373.0,48960.96812400292,,33657802.567581594,0.0
1,Firm_PE92,Petroleum Refining,100517.0,96297.8058650406,,99198271.464288,0.0
1,Firm_AL19,Aluminium,86281.0,147534.68696097162,,41983616.09043841,0.0
1,Firm_PE101,Petroleum Refining,106994.0,92536.08799117988,,95878579.28586613,0.0
1,Firm_CH57,Chlor-Alkali,57561.0,39808.7903866806,,39191647.869901866,0.0
1,Firm_PU36,Pulp & Paper,55524.0,23606.915741290184,,43276182.39196736,0.0
1,Firm_FE79,Fertilizer,68258.0,37789.35958538632,,43093115.54592226,0.0
1,Firm_PU43,Pulp & Paper,56438.0,21022.715223212243,,44227978.023020126,0.0
1,Firm_PO123,Power,171162.0,147118.4860328427,,136396514.37762177,0.0
1,Firm_AL18,Aluminium,89223.0,160287.71240912905,,46216673.67511238,0.0
1,Firm_FE80,Fertilizer,73711.0,41878.188893604514,,54293979.63662136,0.0
1,Firm_CE07,Cement,81306.0,68102.58239654789,,55641402.658558406,0.0
1,Firm_PE103,Petroleum Refining,94943.0,96639.0673374742,,66731733.590298936,0.0
1,Firm_CE06,Cement,98141.0,77402.466805364,,64921022.85686541,0.0
1,Firm_AL23,Aluminium,83116.0,145994.9841525725,,46222016.67114223,0.0
1,Firm_CH51,Chlor-Alkali,58230.0,36451.26632834394,,32649216.117099185,0.0
1,Firm_CH46,Chlor-Alkali,66458.0,45984.67629929395,,48261610.91361432,0.0
1,Firm_PO129,Power,162820.0,129615.31262242388,,105016633.97574537,0.0
1,Firm_CE08,Cement,107728.0,87297.68346799415,,54417525.695848085,0.0
1,Firm_PE119,Petrochemicals,82151.0,43322.6493478456,,45026106.00640356,0.0
1,Firm_FE86,Fertilizer,74828.0,45072.35494656505,,26965577.630252223,0.0
1,Firm_PU44,Pulp & Paper,55070.0,21252.57061321212,,42471566.680936426,0.0
1,Firm_PE104,Petroleum Refining,91283.0,95340.0592284482,,90658997.33099352,0.0
1,Firm_PU45,Pulp & Paper,47083.0,17776.69712419094,,26701022.779652536,0.0
1,Firm_CH47,Chlor-Alkali,69065.0,44192.25465887287,,65961971.41953968,0.0
1,Firm_PO124,Power,158068.0,134596.20791836045,,115384733.8024592,0.0
1,Firm_PE118,Petrochemicals,84370.0,39728.68616454433,,67468694.7198064,0.0
1,Firm_AL21,Aluminium,74491.0,118698.37671421964,,40928464.9522947,0.0
1,Firm_FE81,Fertilizer,65782.0,34465.97781812626,,45007181.275794856,0.0
1,Firm_PO126,Power,197829.0,148382.60218795127,,106928553.83469686,0.0
1,Firm_CE03,Cement,94541.0,78608.9793530989,,63796399.5342651,0.0
1,Firm_PO132,Power,182245.0,131710.5803500483,,142216014.24907687,0.0
1,Firm_PU33,Pulp & Paper,46767.0,17437.286862658373,,45282626.60780943,0.0
1,Firm_PE111,Petrochemicals,91300.0,49948.09546511477,,51950195.41565205,0.0
1,Firm_PU41,Pulp & Paper,41990.0,15672.39233590405,,39863200.38029304,0.0
1,Firm_PE98,Petroleum Refining,109675.0,110174.46592666287,,73511486.8219606,0.0
1,Firm_IR71,Iron & Steel,138006.0,300555.7719890928,,78383175.30092503,0.0
1,Firm_FE82,Fertilizer,72265.0,42671.487838167646,,48299079.4084275,0.0
1,Firm_PO135,Power,197562.0,143653.29889410688,,132908447.96426484,0.0
